지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
131,2019-01-01,-2.7,-5.5,812,.3,1426,.77,,,,,0,6.8,270,1427,3.4,320,1535,1.4,1238,-9.1,49,2,61.5,3.1,1026.3,1035.8,254,1031.3,1400,1033.7,9.7,4.2,1000,1.08,5.5,,,,,,5,5,-2.1,-13.3,,,,,,,,,,.7,1,0,
131,2019-01-02,-3.1,-7.2,826,1.5,1443,,,,,,,6,320,1759,3.8,320,1800,1.4,1213,-12,29,1730,51.4,2.4,1027,1036.4,906,1032.6,1359,1034.5,9.7,8.6,1200,1.85,10.49,,,,,,.8,.8,-3.6,-13.9,,,,,,,,,,1.2,1.7,,
131,2019-01-03,-2.5,-8.1,457,3.9,1559,,,,,,,4,320,2006,2.6,320,2007,.9,784,-14.3,17,1518,46,2.1,1027.9,1037.3,950,1033.6,1622,1035.3,9.7,8.7,1200,1.89,11.02,,,,,,0,0,-3.6,-16.1,,,,,,,,,,1.2,1.7,,
131,2019-01-04,-1.2,-7.2,813,3.8,1508,,,,,,,3.3,290,1229,1.9,250,1234,.8,725,-9.9,38,1352,51.9,2.9,1023.4,1035.4,148,1027,2400,1030.7,9.7,5.4,1000,1.15,6.29,,,,,,5,3.9,-2.2,-14.7,,,,,,,,,,.8,1.2,,
131,2019-01-05,-.7,-4.3,2353,3,1347,,,,,,,6.9,340,1356,3.7,320,842,1.5,1304,-12.3,20,1318,43.9,2.5,1019.6,1029,1028,1025.5,1524,1026.9,9.8,8.6,1100,1.72,10.14,,,,,,3.1,1.5,-2.3,-13.4,,,,,,,,,,1.4,2,,
131,2019-01-06,-2.3,-7.1,810,3.9,1435,,,,,,,5.5,360,1832,3.3,320,1827,1.1,973,-12.2,23,1533,49.3,2.4,1021.2,1030,948,1027.2,1359,1028.6,9.8,7.6,1200,1.86,10.1,,,,,,2.9,0,-2.9,-14.4,,,,,,,,,,1.2,1.8,,
131,2019-01-07,-1,-6.9,525,3.9,1419,,,,,,,7.2,360,1400,3.9,320,1408,1.2,1008,-7.7,42,1332,61.4,3.4,1021.1,1030.4,944,1027,1758,1028.4,9.8,8,1200,1.7,9.35,,,,,,3.4,1.1,-2.3,-14.1,,,,,,,,,,1.1,1.5,,
131,2019-01-08,-1.8,-5.5,2358,2.3,1326,,,,,,,9.6,320,2108,5,340,2150,1.8,1580,-12,21,1446,48.4,2.6,1021.5,1032.4,2310,1026.6,1350,1028.9,9.8,8.7,1200,1.8,10.53,,,,,,2,.4,-2.6,-13,,,,,,,,,,1.5,2.1,,
131,2019-01-09,-3.6,-8.6,824,1.5,1524,,,,,,,4.9,320,157,2.9,340,112,1.1,951,-16.2,25,1627,37.9,1.7,1025.4,1036.4,852,1029.2,2400,1032.9,9.8,7.9,1100,1.7,9.45,,,,,,3.9,0,-3.1,-15,,,,,,,,,,.9,1.3,,
131,2019-01-10,-1,-3.4,12,1.4,1419,,,,,,,3.8,270,1442,1.9,270,1450,.9,770,-9.4,38,250,54.1,3.1,1019.4,1029.4,11,1024.8,1338,1026.7,9.8,.3,1100,.79,3.83,,,,,,8,7.6,-1.1,-11,,,,,,,,,,.6,.9,,
