지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(null),소형일최대증발량(null),대형총증발량(null),대형일최대증발량(null),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(null),평균중하층운량(null),일조시간합(null),일조율(null),전천일사합(null),최심적설(null),최심신적설(null),3시간신적설합(null),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
138,2018-01,.6,5.2,-3.2,13.3,-12.9,20180115,20180126,1021.8,1022.1,1033.8,1005.5,20180114,20180108,3.4,9.7,.8,20180116,20180124,-9.6,49,17,20180127,20,9,,,20180117,,,60,2.5,38.9,1.8,20180127,20180127,2.8,7.7,14.7,270,230,20180124,20180129,3.1,1.6,223.9,71.99,186.43,.1,.1,.1,20180110,20180110,-6.2,-14.2,20180126,.9,1.3,1.9,2.8,3.5,6,9.7,12,15.9,17.4
138,2018-02,2.5,7.5,-2,15.3,-10.3,20180227,20180207,1021.6,1021.9,1029,991.4,20180224,20180228,3.6,11.6,1,20180228,20180206,-9,46,13,20180217,33.5,33.4,,,20180228,,,69.3,4,48.4,2.8,20180216,20180216,2.7,7.7,13.7,250,270,20180214,20180204,3.4,1.4,224.5,73.7,217.83,.2,.2,.2,20180212,20180211,-6.3,-12.9,20180205,3.8,3.2,3.4,3.7,4.1,5.3,8.1,10.1,14.2,16.6
138,2018-03,10.2,14.9,5.5,25.9,-2.2,20180328,20180302,1019.6,1020.1,1033.2,993.6,20180306,20180301,7.5,16.8,2.2,20180315,20180302,2.1,62,15,20180302,153.7,42.5,,,20180319,,,108.3,8.1,75.8,5.7,20180325,20180325,3.3,10.1,19.7,50,290,20180321,20180301,4.6,3.1,222.1,59.85,341.72,,,,,,3.2,-3.7,20180302,10.7,10.3,10.2,10.1,9.9,9.6,9.8,10.6,13.2,15.9
138,2018-04,15.5,20.7,10.6,33,2.8,20180421,20180408,1015.1,1015.6,1027.6,1002.4,20180413,20180414,9.6,18.6,2.5,20180430,20180407,5.6,57,12,20180419,106.5,33.9,5.4,1.5,20180423,20180414,20180414,176.9,11.3,123.6,7.9,20180419,20180419,3.2,7.6,13.9,50,70,20180422,20180424,4.1,2.3,259.6,65.99,553.16,,,,,,7.3,-.7,20180413,17.8,16.8,16.5,16.2,15.7,14.2,12.9,12.6,13.2,15.3
138,2018-05,18.7,22.6,15.1,32.6,9.9,20180517,20180504,1011.6,1012.1,1025.6,1001.6,20180509,20180502,15.5,28.1,4.8,20180517,20180504,12.9,73,20,20180504,71.6,21.2,6.3,5.1,20180523,20180530,20180530,156.7,11.6,109.9,8.1,20180504,20180504,3.1,8.6,16.6,250,230,20180503,20180503,6,3.5,222.9,51.08,552.3,,,,,,12.8,6.1,20180522,21.9,21.4,20.8,20.3,19.8,17.8,15.8,15,14.2,15.1
138,2018-06,23.3,27.2,19.7,34.6,14.4,20180624,20180617,1007.9,1008.4,1016.3,998.9,20180616,20180628,19.4,30.4,12.4,20180627,20180623,16.7,69,26,20180624,89.1,51.4,12.7,4.8,20180627,20180627,20180627,163.5,9.6,114.7,6.7,20180624,20180624,2.7,6.9,11.1,50,200,20180615,20180627,6.3,3,218.7,50.02,536.39,,,,,,17.8,12.1,20180617,27.9,,26.2,25.6,24.6,21.9,19.2,17.7,15.5,15.3
138,2018-07,27.3,30.9,24.2,37.2,17.6,20180722,20180707,1008.8,1009.2,1019.5,990.3,20180709,20180704,27.9,37.6,16.1,20180727,20180708,22.7,78,38,20180724,164.1,48.8,27.4,8.8,20180704,20180704,20180704,177.1,9.2,123.8,6.4,20180722,20180722,2.7,8.3,12.2,20,360,20180729,20180729,5.1,3.6,257.1,57.83,581.93,,,,,,23.1,16.3,20180708,33.1,30.6,30,29.2,28.5,25.2,22.3,20.4,17.2,15.7
138,2018-08,27.7,30.8,24.8,39.4,19.5,20180804,20180819,1007.9,1008.3,1015.6,989.7,20180817,20180824,27.2,36.1,16.3,20180813,20180818,22.3,74,35,20180814,175.4,67.1,16.3,7.1,20180826,20180826,20180826,167.1,10,117,7,20180804,20180804,2.7,8.9,12.8,50,250,20180816,20180824,6.1,4.2,223.9,53.48,505.79,,,,,,23.2,16.8,20180819,31.5,30.3,29.9,29.7,29.3,27.2,25,23.1,19,16.4
138,2018-09,21.9,24.8,19.3,30.6,13.5,20180905,20180925,1013.2,1013.7,1023.8,992.9,20180911,20180904,19.4,28.9,8,20180903,20180930,16.7,74,34,20180905,160,53,10.6,3.3,20180914,20180919,20180919,111.8,8.1,78.1,5.7,20180905,20180905,2.6,8.5,10.9,50,360,20180910,20180921,7.4,4.9,127.9,34.32,343.26,,,,,,17,9.4,20180928,23,23.2,23.2,23.4,23.5,23.8,23.4,22.8,20.2,17.2
138,2018-10,15.5,19.8,11.7,26.3,6,20181007,20181031,1017.8,1018.3,1027.3,984.7,20181020,20181006,12,27.7,5,20181006,20181030,8.9,67,27,20181011,261.6,179.4,31.8,10.4,20181006,20181006,20181006,112.4,5.9,78.5,4.1,20181007,20181007,2.6,13.6,16.7,360,290,20181006,20181006,3.7,2.3,238.5,68.16,395.8,,,,,,7.5,0,20181030,17.1,17.1,17.4,17.9,18.2,19.4,20.2,20.8,20.1,17.8
138,2018-11,10.9,15.6,6.9,21.6,.6,20181104,20181124,1022.6,1023.1,1029.5,1006.9,20181123,20181108,8.4,18.9,1.9,20181108,20181123,3.3,62,16,20181123,17.7,17.3,,,20181108,,,81,4.4,56.4,3,20181103,20181103,2.1,7.3,10.9,250,250,20181109,20181109,3.5,2.2,197.7,64,279.82,,,,,,2.7,-4.6,20181123,11,11.2,11.7,12.4,12.9,15,17.1,18.4,19.3,18
138,2018-12,4,8.5,.1,19.7,-8.3,20181203,20181228,1025.1,1025.6,1037.4,1011.6,20181230,20181204,4.9,18.2,.8,20181203,20181227,-5.9,52,11,20181227,31.1,20.2,,,20181204,,,71.4,3.5,49.9,2.4,20181224,20181227,2.6,7.5,10.8,250,290,20181229,20181229,4.2,2,178.6,59.04,245.44,,,,,,-3.1,-11.1,20181230,3.6,4.5,5.1,6,6.8,9.8,13,15.2,17.8,17.8
