지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
138,2019-01,3.6,8.7,-.5,13.5,-5.1,20190130,20190116,1023.5,1024,1034.4,1015.7,20190109,20190120,3.4,8.6,1.4,20190112,20190110,-8.7,43,15,20190130,17.7,12.2,,,20190112,,,93.7,4.6,65.7,3.2,20190130,20190130,2.8,7.5,10.5,250,200,20190102,20190128,3,1.6,230,74,310.96,,,,,,-3.8,-7.3,20190126,3.1,3.6,3.9,4.4,4.8,6.8,9.8,12.1,15.9,17.3
138,2019-02,5.5,10.1,1.5,16.2,-4,20190224,20190201,1022.4,1022.9,1035.6,1006.5,20190212,20190203,4.9,13.6,1.5,20190203,20190209,-4.4,53,14,20190206,22.7,19.3,,,20190219,,,83,4.4,58,3.1,20190224,20190224,2.5,6.9,10.4,250,250,20190201,20190203,5.1,2.6,193.2,63.47,326.95,,,,,,-1,-5.2,20190201,5.8,5.9,6,6.2,6.4,7.3,9.2,11,14.4,16.6
138,2019-03,10.3,15.2,5.5,24.1,.3,20190327,20190313,1015.9,1016.4,1026.3,998.2,20190308,20190321,6.8,16,2.3,20190321,20190313,.7,55,16,20190326,27.6,12.4,,,20190310,,,131.2,7.1,92.1,4.9,20190327,20190327,2.8,7.7,11.8,250,250,20190331,20190327,4.7,2.3,246.7,66.51,475.71,,,,,,1.8,-3.4,20190301,12.1,11.5,11.2,11.1,11,10.6,10.8,11.5,13.7,16
138,2019-04,13.5,18.4,9.2,27,2.2,20190418,20190401,1014.8,1015.3,1024.9,1004.1,20190403,20190424,9.2,20,2.9,20190424,20190401,4.6,60,13,20190416,95.4,45.9,11.2,2.5,20190429,20190429,20190429,143,10.1,100.1,7.1,20190404,20190404,2.7,8.9,12.3,50,70,20190409,20190409,5.5,3.2,215.2,54.74,500.3,,,,,,5.2,-5.2,20190402,16.5,15.4,15.2,15,14.8,13.5,12.9,12.8,13.7,15.4
138,2019-05,20.8,26,15.9,35.1,8.4,20190524,20190507,1011.3,1011.8,1020,1001.4,20190512,20190520,12.3,24.1,4.8,20190527,20190508,9.2,53,14,20190530,14.7,8.4,3.8,1.1,20190518,20190518,20190527,232,12.1,162.3,8.5,20190526,20190526,2.7,7.1,11.2,200,200,20190527,20190526,4.4,1.8,298.9,68.54,681.24,,,,,,11.5,4.3,20190507,25.2,23.3,22.7,22,21.4,18.4,16.2,15.2,14.4,15.2
138,2019-06,21.6,25.1,18.4,32.4,14.6,20190604,20190613,1007.3,1007.8,1016.5,994.9,20190625,20190629,19,30.9,9.5,20190630,20190601,16.4,75,25,20190601,190.1,46.4,17.5,4.9,20190626,20190629,20190629,152.1,8.8,106.4,6.2,20190603,20190603,2.3,6.6,9.4,360,360,20190621,20190624,6.1,4,229.5,52.51,567.97,,,,,,16.1,11,20190613,26.5,25.2,24.9,24.4,24,21.6,19.4,18,15.8,15.4
138,2019-07,26,29.1,23.6,36.5,19.9,20190731,20190702,1006.5,1007,1014.3,999.5,20190716,20190713,26,33.8,17.6,20190723,20190702,21.6,78,36,20190702,94.9,58.4,8.9,3.8,20190720,20190720,20190720,149.3,9,104.6,6.3,20190731,20190731,2.7,8.5,13.4,110,160,20190720,20190720,7.1,4.5,178.7,40.18,493.35,,,,,,21.9,14.8,20190702,29.4,28,27.5,26.8,26.2,23.6,21.4,20,17.2,15.8
138,2019-08,27,30.3,24.3,36.1,21,20190801,20190831,1006.9,1007.3,1015.9,987.1,20190831,20190815,28.3,35.6,17.6,20190811,20190831,23,80,32,20190817,231.7,62,28.3,12.7,20190822,20190821,20190821,149.4,8,104.7,5.6,20190801,20190801,2.2,8.6,11.7,50,50,20190806,20190806,5.7,3.5,230.2,54.94,524.4,,,,,,22.6,17.3,20190831,30.7,29.7,29.5,29.1,28.7,26.5,24.2,22.4,18.8,16.4
138,2019-09,23,25.9,20.4,31.4,13.9,20190910,20190925,1015,1015.5,1026.1,1001.4,20190926,20190907,22.9,34,12.3,20190910,20190924,19.4,81,32,20190918,273.6,162.9,14,4.7,20190922,20190921,20190921,97,6.9,68.1,4.8,20190918,20190918,2.4,14.1,17.3,50,50,20190922,20190922,7.3,4.9,135.4,36.3,334.03,,,,,,18.2,10.5,20190924,25.2,24.5,24.4,24.3,24.2,23.8,23.3,22.7,20.1,17.2
138,2019-10,18,21.7,14.5,27.9,7.3,20191003,20191028,1018.1,1018.6,1030.6,994.7,20191015,20191003,15.1,28.6,5.9,20191001,20191027,12.4,72,27,20191027,381.9,309.2,58.5,22.1,20191002,20191002,20191002,110.3,5.8,77,4.1,20191011,20191011,2.9,9,17.3,360,360,20191012,20191012,5.5,3.6,205.5,58.68,354.87,,,,,,11.6,5.6,20191028,18.9,18.8,19,19.4,19.7,20.8,21.3,21.5,20.4,17.8
