지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(null),소형일최대증발량(null),대형총증발량(null),대형일최대증발량(null),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(null),평균중하층운량(null),일조시간합(null),일조율(null),전천일사합(null),최심적설(null),최심신적설(null),3시간신적설합(null),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
143,2018-01,-.9,4,-5.2,13.2,-13.9,20180115,20180127,1016.4,1023.2,1034.5,1007,20180114,20180108,3,8.5,.6,20180116,20180124,-11.4,49,11,20180127,21.1,9.5,,,20180117,,,67.8,3.3,43.9,2.3,20180105,20180105,2.5,9.1,16.3,290,290,20180123,20180123,3.9,2.3,216.3,69.46,311.43,1,1,1.2,20180110,20180110,-9.6,-19,20180127,-.3,,,,,,,,,
143,2018-02,1.3,7.1,-4.2,15,-10.9,20180214,20180207,1015.8,1022.5,1029.9,992.4,20180202,20180228,2.8,10.5,.8,20180228,20180207,-12.3,40,8,20180216,25.1,24.5,,,20180228,,,86.3,5.1,60.6,3.6,20180217,20180217,2.5,9.6,15.5,290,320,20180205,20180205,3.6,1.6,209,68.55,356.28,.3,.3,.6,20180213,20180212,-9.8,-17.4,20180208,1.8,,,,,,,,,
143,2018-03,9.2,15.6,3.3,25.9,-2.8,20180328,20180302,1013.5,1020,1032.4,996.4,20180307,20180301,6.8,16.8,1.6,20180315,20180302,.5,60,11,20180302,98.7,23,,,20180319,,,122.8,7.6,86,5.3,20180328,20180328,2.3,10.5,18.2,290,290,20180301,20180301,4.3,3,219.3,59.09,470.41,7.5,7.5,10.8,20180308,20180308,-.6,-7,20180317,10.2,,,,,,,,,
143,2018-04,15,21.4,8.9,32,.5,20180421,20180408,1009.1,1015.5,1026,1002.5,20180413,20180414,8.3,16.5,2.1,20180411,20180407,3.4,52,9,20180421,113,38,7.5,2.5,20180423,20180404,20180423,180,10.6,126.2,7.4,20180419,20180419,2.6,8.8,15.3,290,290,20180407,20180407,4.6,2.8,247.6,62.97,559.89,,,,,,5.2,-2.1,20180408,17.9,,,,,,,,,
143,2018-05,19.2,24.8,14.2,32,7.2,20180515,20180504,1005.4,1011.6,1025.3,1001.4,20180510,20180502,13.5,25.2,3,20180516,20180504,10.5,62,12,20180504,99.7,22,15.9,14,20180523,20180530,20180530,180,13.1,126.2,9.2,20180504,20180504,2.4,9.5,18.7,270,340,20180503,20180530,6.1,3.7,203.8,46.74,569.94,,,,,,11.3,2.3,20180504,22.5,,,,,,,,,
143,2018-06,23.6,28.7,18.7,35.3,13.7,20180625,20180617,1001.9,1008,1016.2,999,20180602,20180628,16.6,28.9,8,20180627,20180603,14.1,60,17,20180603,121.1,68.5,15,5.5,20180627,20180627,20180630,189,10.8,132.3,7.6,20180624,20180624,2.2,7.7,12.3,110,320,20180609,20180627,6.1,3.3,201.5,46.12,575.54,,,,,,16.5,12.4,20180617,27.7,,,,,,,,,
143,2018-07,28.2,33.1,24,39.2,17.6,20180727,20180708,1002.6,1008.6,1018.3,991.8,20180709,20180704,24.1,29.8,13.1,20180728,20180707,20.3,66,24,20180729,169.6,62.5,27.5,8,20180702,20180702,20180702,195.5,9.1,137.1,6.4,20180731,20180731,2.2,7,11.7,110,90,20180730,20180707,5.1,4,225.4,50.72,583.52,,,,,,22.5,17.2,20180708,33.2,,,,,,,,,
143,2018-08,27.7,32.9,23.7,38.7,18.4,20180804,20180819,1001.7,1007.8,1014.4,988.2,20180817,20180824,24.3,30.9,14.3,20180815,20180819,20.5,68,28,20180821,334.2,127.5,33,9.5,20180826,20180810,20180810,193.9,10.3,136.3,7.2,20180801,20180802,2.4,8,14.3,250,250,20180824,20180824,5.8,4,219.8,52.51,544.94,,,,,,22.7,16.8,20180818,32.1,,,,,,,,,
143,2018-09,21,25.4,17.2,30.4,10.4,20180905,20180925,1007.2,1013.3,1023,993.4,20180911,20180904,17.4,28.8,6.6,20180903,20180930,14.9,71,17,20180918,109,40,19.5,5.5,20180921,20180904,20180904,124.7,8.4,87.2,5.9,20180905,20180905,1.9,7.1,11.9,290,290,20180930,20180930,6.7,4.2,142.6,38.26,391.07,,,,,,15.4,7.5,20180925,23,,,,,,,,,
143,2018-10,14.3,20,9.3,25.8,2.8,20181007,20181031,1012,1018.4,1027.5,985,20181020,20181006,10.1,25.2,3,20181006,20181021,6.3,63,12,20181021,165.1,98.5,19,4,20181006,20181006,20181006,119.4,6.6,83.9,4.6,20181007,20181007,1.8,9,15.1,270,290,20181001,20181001,3.6,2.2,238.8,68.21,417.44,,,,,,5.1,-2.6,20181031,16.3,,,,,,,,,
143,2018-11,8.8,15.2,3.3,21.2,-2.7,20181104,20181124,1016.7,1023.3,1031,1007.7,20181123,20181108,7.1,18.3,1.5,20181108,20181122,.9,63,13,20181128,17.2,15.5,,,20181108,,,74.6,4,52.2,2.8,20181122,20181122,1.3,7.7,11.7,290,270,20181109,20181109,3.5,2.1,186.2,60.26,290.08,,,,,,-2.2,-8.1,20181124,9.1,,,,,,,,,
143,2018-12,2,7,-2.3,16.1,-8.8,20181204,20181228,1019.6,1026.4,1038.4,1011.7,20181231,20181204,3.9,14.8,.5,20181204,20181227,-8.5,50,8,20181227,23.8,14,,,20181204,,,69.8,4.6,49,3.2,20181223,20181223,2.1,8.8,16,320,290,20181207,20181207,4,2,185,61.06,260.56,3.3,3.3,3.7,20181216,20181216,-6.6,-16.2,20181231,2.1,,,,,,,,,
