지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
143,2019-01,1.7,7.3,-3.5,12.5,-7.2,20190130,20190127,1018.2,1025,1035.6,1016.7,20190103,20190131,3,7.6,1,20190112,20190124,-10.6,44,8,20190124,9.5,5.5,,,20190131,,,86.8,4.9,60.8,3.4,20190120,20190120,2.3,8.6,14,290,290,20190128,20190128,3,1.5,228.9,73.55,319.27,,,,,,-9.1,-14.3,20190127,1.4,,,,,,,,,
143,2019-02,4,9.1,-.9,15.7,-4.7,20190224,20190212,1016.6,1023.3,1036.3,1007.6,20190212,20190203,3.9,9.3,1,20190228,20190209,-7.7,47,13,20190206,26.2,19.5,,,20190219,,,84.3,4.4,59.2,3.1,20190217,20190217,2.1,7.7,13.1,290,290,20190204,20190203,5,2,193.9,63.68,345.66,,,,,,-5.2,-10.6,20190212,4.3,,,,,,,,,
143,2019-03,9.4,15.5,3.6,24.2,-1.5,20190327,20190314,1010.1,1016.6,1026.6,999.7,20190308,20190321,5.7,16.3,1.9,20190321,20190314,-1.7,50,15,20190314,20.7,7.5,,,20190310,,,136.2,7.6,95.2,5.3,20190327,20190327,2.4,8.5,14.7,270,320,20190330,20190313,4.8,2.2,235.8,63.56,500.7,,,,,,-1.2,-9.1,20190314,11.2,,,,,,,,,
143,2019-04,13.5,19.4,8,27.1,.2,20190418,20190402,1008.5,1014.9,1025.3,1004.2,20190403,20190424,7.9,19,2.3,20190424,20190402,2.1,52,8,20190416,88,40,6.5,1.5,20190429,20190429,20190429,139.7,8.7,98.1,6.1,20190408,20190408,2.2,7.9,14.8,110,90,20190408,20190409,5.4,3.1,188.1,49.51,480.63,,,,,,3.5,-8.2,20190402,16.1,,,,,,,,,
143,2019-05,20.7,27.5,13.6,34.5,7.2,20190524,20190507,1005.4,1011.6,1019.3,1002.2,20190504,20190501,10.5,22.7,3.3,20190527,20190507,6.8,47,10,20190503,25.7,16,3.5,1,20190518,20190518,20190518,246.1,11.9,171.9,8.3,20190529,20190529,2.1,7.9,11.9,290,290,20190520,20190520,4.4,1.7,295.6,67.8,702.36,,,,,,9.1,1.2,20190508,24.6,,,,,,,,,
143,2019-06,22.8,28.5,17.8,35.7,14.5,20190605,20190601,1000.9,1007.1,1016.4,994.9,20190625,20190629,17.3,30.4,8.7,20190627,20190605,14.9,65,16,20190605,160.8,60,16,11.5,20190626,20190615,20190615,186.9,9.1,131.2,6.4,20190605,20190605,2.1,7.4,10.8,110,90,20190609,20190615,5.8,3.6,238.9,54.68,620.6,,,,,,15.3,9.2,20190602,27.3,,,,,,,,,
143,2019-07,25.8,30,22.3,36,18.8,20190731,20190709,1000.5,1006.7,1013.8,999,20190717,20190713,24.7,33.6,14.9,20190727,20190702,20.7,76,33,20190702,139.4,64.5,8,4,20190720,20190720,20190727,144.6,9,101.1,6.3,20190706,20190706,1.9,7.3,10.3,110,90,20190706,20190706,7.4,4.4,156.3,35.17,487.33,,,,,,20.5,15.7,20190702,28.3,,,,,,,,,
143,2019-08,27.4,32.2,23.7,36.9,17.9,20190802,20190831,1000.9,1007,1016,987.8,20190831,20190815,26.4,35,15,20190815,20190818,21.8,74,31,20190818,141.9,72,31.5,6.5,20190822,20190822,20190822,163.9,9.5,114.8,6.7,20190811,20190811,1.9,7.2,10.5,110,110,20190811,20190810,6,3.9,198.7,47.45,515.88,,,,,,21.9,14,20190831,30.9,,,,,,,,,
143,2019-09,22.6,27,19.1,32.5,12.5,20190910,20190925,1008.7,1014.9,1025.3,999.6,20190926,20190907,21.3,32.4,9.3,20190909,20190918,18.2,79,22,20190918,185.5,72.5,8,5,20190922,20190903,20190905,110.7,7,77.7,4.9,20190918,20190918,1.7,7.8,12.2,140,160,20190907,20190907,6.9,4.6,137,36.73,379.27,,,,,,16.9,8.5,20190925,24.4,,,,,,,,,
143,2019-10,16.8,22,12.2,28.6,3.9,20191004,20191028,1012.1,1018.6,1029.9,994.3,20191015,20191003,13.6,27.4,5.5,20191001,20191027,10.8,71,20,20191009,155.2,104.5,27.5,6.5,20191002,20191002,20191002,110.4,6.1,77.6,4.3,20191012,20191012,1.7,7.3,10.2,290,320,20191003,20191003,5,3.2,199.2,56.88,386.33,,,,,,8.4,-1.3,20191028,18.2,,,,,,,,,
143,2019-11,9.8,16.3,4.3,23.2,-2.6,20191101,20191121,1015.6,1022.3,1034.7,1006.4,20191121,20191111,8.1,18.5,2.2,20191118,20191120,2.9,66,18,20191121,15.3,8,,,20191118,,,77,3.8,53.9,2.6,20191108,20191108,1.7,8.4,12.9,290,290,20191114,20191110,4,2.5,185.2,59.94,291.61,,,,,,-.6,-8.6,20191129,10.1,,,,,,,,,
